Event Type,Clean Session,Will Flag,QoS/Will QoS,Retain/Will Retain,Payload/Will Payload Size,Keep-Alive,Reconn Frequency,Pending Queue,Retained Queue,Subscription Count,Resubscription Frequency,Republish Frequency,Label
1,1,1,2,0,0,2,0,2,2,1,-1,-1,0
1,0,1,2,0,2,1,1,2,1,1,-1,-1,1
1,1,0,-1,-1,-1,0,2,1,1,0,-1,-1,0
1,1,1,2,0,2,1,0,0,2,1,-1,-1,0
1,1,1,1,0,0,2,0,0,0,1,-1,-1,0
1,0,1,0,0,0,2,0,1,2,2,-1,-1,0
1,1,1,0,0,2,0,1,1,0,2,-1,-1,0
1,1,1,2,0,0,1,0,2,0,0,-1,-1,0
1,1,1,2,1,2,0,2,1,2,2,-1,-1,2
1,0,0,-1,-1,-1,2,1,0,1,0,-1,-1,0
1,1,1,2,0,1,2,1,2,0,2,-1,-1,1
1,1,0,-1,-1,-1,1,2,2,1,1,-1,-1,1
1,0,0,-1,-1,-1,1,1,2,0,1,-1,-1,0
1,0,0,-1,-1,-1,1,2,2,2,1,-1,-1,1
1,1,0,-1,-1,-1,2,2,0,2,1,-1,-1,1
1,0,1,1,0,2,0,2,0,2,0,-1,-1,0
1,0,0,-1,-1,-1,0,2,0,0,0,-1,-1,0
1,0,1,1,0,2,1,2,0,1,2,-1,-1,1
1,0,0,-1,-1,-1,2,2,0,0,1,-1,-1,0
1,1,1,1,0,1,2,2,0,1,2,-1,-1,0
1,0,0,-1,-1,-1,0,2,2,2,0,-1,-1,1
1,0,0,-1,-1,-1,0,2,1,0,2,-1,-1,0
1,1,0,-1,-1,-1,2,0,2,0,1,-1,-1,0
1,1,0,-1,-1,-1,1,2,1,1,0,-1,-1,0
1,0,1,2,0,2,1,1,1,0,1,-1,-1,0
1,0,1,2,0,1,0,0,0,1,0,-1,-1,0
1,1,1,0,1,1,0,2,2,2,0,-1,-1,0
1,0,1,0,1,2,2,0,2,0,0,-1,-1,0
1,0,0,-1,-1,-1,0,1,1,0,0,-1,-1,0
1,0,0,-1,-1,-1,1,1,1,1,2,-1,-1,1
1,1,0,-1,-1,-1,1,0,2,2,1,-1,-1,0
1,1,0,-1,-1,-1,2,1,0,1,2,-1,-1,0
1,0,1,2,1,1,0,1,1,2,0,-1,-1,1
1,0,0,-1,-1,-1,0,1,1,2,1,-1,-1,0
1,0,0,-1,-1,-1,1,0,0,0,2,-1,-1,0
1,1,1,2,0,2,1,1,0,1,1,-1,-1,0
1,0,0,-1,-1,-1,1,2,2,1,0,-1,-1,1
1,1,1,1,0,0,0,0,1,1,2,-1,-1,0
1,0,1,2,0,1,2,1,0,0,2,-1,-1,0
1,0,0,-1,-1,-1,1,1,1,2,0,-1,-1,0
1,1,1,2,0,2,0,1,2,1,0,-1,-1,0
1,1,1,2,1,1,1,1,1,1,0,-1,-1,0
1,0,1,0,0,0,0,1,2,1,0,-1,-1,0
1,0,1,1,0,0,1,2,1,0,1,-1,-1,0
1,1,0,-1,-1,-1,0,2,0,0,2,-1,-1,0
1,0,0,-1,-1,-1,0,1,1,2,2,-1,-1,1
1,0,0,-1,-1,-1,1,0,1,1,0,-1,-1,0
1,0,0,-1,-1,-1,1,2,1,2,0,-1,-1,1
1,0,1,1,1,0,1,1,2,1,0,-1,-1,0
1,0,1,1,1,0,0,2,2,1,2,-1,-1,1
1,0,0,-1,-1,-1,2,2,2,1,0,-1,-1,1
1,1,1,2,0,0,0,1,1,0,1,-1,-1,0
1,1,1,2,1,0,1,0,0,0,2,-1,-1,0
1,1,0,-1,-1,-1,1,0,1,2,1,-1,-1,0
1,0,0,-1,-1,-1,0,0,2,0,0,-1,-1,0
1,1,0,-1,-1,-1,1,1,0,0,1,-1,-1,0
1,0,0,-1,-1,-1,2,0,0,0,1,-1,-1,0
1,0,0,-1,-1,-1,0,2,1,2,2,-1,-1,1
1,0,1,0,0,2,2,0,2,1,1,-1,-1,0
1,1,0,-1,-1,-1,0,0,2,0,1,-1,-1,0
1,1,0,-1,-1,-1,1,0,0,0,1,-1,-1,0
1,1,0,-1,-1,-1,0,2,1,2,0,-1,-1,0
1,1,1,2,0,0,2,0,0,1,0,-1,-1,0
1,1,1,1,0,2,1,0,0,0,2,-1,-1,0
1,1,1,0,0,0,1,1,1,1,2,-1,-1,0
1,0,0,-1,-1,-1,1,2,0,1,2,-1,-1,1
1,1,1,0,1,1,1,2,1,0,1,-1,-1,0
1,1,0,-1,-1,-1,1,2,0,1,1,-1,-1,0
1,1,1,1,1,0,1,2,1,0,2,-1,-1,0
1,1,0,-1,-1,-1,1,1,1,2,2,-1,-1,1
1,0,0,-1,-1,-1,0,0,2,2,0,-1,-1,0
1,0,0,-1,-1,-1,0,2,2,1,2,-1,-1,1
1,0,0,-1,-1,-1,2,1,2,1,1,-1,-1,1
1,0,0,-1,-1,-1,1,1,2,2,1,-1,-1,1
1,0,1,0,1,0,1,2,0,1,0,-1,-1,0
1,0,0,-1,-1,-1,2,1,0,0,2,-1,-1,0
1,1,1,2,0,1,0,1,2,2,1,-1,-1,1
1,0,1,0,0,2,1,1,2,1,0,-1,-1,0
1,0,1,2,1,0,1,0,1,0,1,-1,-1,0
1,0,0,-1,-1,-1,0,1,2,1,0,-1,-1,0
1,0,0,-1,-1,-1,2,1,1,0,0,-1,-1,0
1,1,1,1,1,1,1,2,2,2,0,-1,-1,1
1,0,1,0,0,0,2,0,2,0,2,-1,-1,0
1,0,0,-1,-1,-1,0,2,1,0,0,-1,-1,0
1,0,0,-1,-1,-1,1,0,1,1,2,-1,-1,0
1,0,0,-1,-1,-1,1,0,1,0,1,-1,-1,0
1,0,1,2,1,1,0,0,1,1,2,-1,-1,1
1,0,1,1,0,2,0,2,1,2,0,-1,-1,1
1,1,0,-1,-1,-1,1,2,1,0,1,-1,-1,0
1,1,0,-1,-1,-1,2,1,1,1,2,-1,-1,1
1,1,0,-1,-1,-1,1,0,0,2,1,-1,-1,0
1,1,1,1,0,2,1,0,2,0,0,-1,-1,0
1,0,1,0,1,2,1,1,0,0,2,-1,-1,0
1,0,1,1,0,1,1,2,2,1,1,-1,-1,1
1,0,1,1,0,1,0,2,0,1,0,-1,-1,0
1,0,1,1,0,0,1,1,0,2,0,-1,-1,0
1,1,1,0,1,2,2,1,1,0,0,-1,-1,0
1,0,0,-1,-1,-1,1,0,2,2,2,-1,-1,1
1,0,1,0,1,0,1,1,1,2,1,-1,-1,0
1,0,0,-1,-1,-1,1,0,2,2,1,-1,-1,1
1,0,0,-1,-1,-1,2,0,0,0,2,-1,-1,0
1,0,0,-1,-1,-1,2,0,0,1,0,-1,-1,0
1,0,0,-1,-1,-1,0,1,2,0,2,-1,-1,0
1,0,0,-1,-1,-1,1,0,1,2,2,-1,-1,1
1,1,1,0,0,1,1,2,0,2,2,-1,-1,0
1,1,0,-1,-1,-1,0,2,0,1,2,-1,-1,0
1,1,0,-1,-1,-1,2,0,0,0,0,-1,-1,0
1,1,1,0,0,1,0,1,2,1,1,-1,-1,0
1,0,0,-1,-1,-1,2,2,0,1,1,-1,-1,0
1,0,0,-1,-1,-1,1,0,2,1,0,-1,-1,0
1,0,1,0,1,1,1,2,1,0,0,-1,-1,0
1,0,1,0,1,1,2,2,2,0,0,-1,-1,0
1,0,0,-1,-1,-1,0,1,0,0,2,-1,-1,0
1,1,0,-1,-1,-1,0,1,1,0,1,-1,-1,0
1,0,1,1,1,2,1,2,0,0,2,-1,-1,1
1,1,1,1,1,0,2,0,2,1,0,-1,-1,0
1,1,1,1,1,1,0,2,0,1,0,-1,-1,0
1,1,1,0,0,1,1,1,2,2,0,-1,-1,0
1,1,0,-1,-1,-1,1,0,0,0,2,-1,-1,0
1,0,1,2,0,2,2,1,1,2,1,-1,-1,1
1,1,0,-1,-1,-1,2,0,0,2,0,-1,-1,0
1,1,0,-1,-1,-1,2,1,0,1,1,-1,-1,0
1,0,0,-1,-1,-1,2,0,2,2,1,-1,-1,1
1,0,1,2,1,2,0,1,1,1,2,-1,-1,1
1,1,1,0,1,2,1,2,0,1,1,-1,-1,0
1,1,1,0,0,0,1,2,0,1,1,-1,-1,0
1,0,1,0,1,1,1,2,0,1,0,-1,-1,0
1,0,1,2,1,2,2,2,0,1,2,-1,-1,2
1,1,0,-1,-1,-1,1,1,1,2,1,-1,-1,0
1,0,1,1,1,2,1,1,2,0,0,-1,-1,0
1,0,0,-1,-1,-1,0,1,0,1,0,-1,-1,0
1,0,1,2,1,0,1,2,0,0,2,-1,-1,0
1,0,1,2,1,2,0,2,1,0,0,-1,-1,1
1,0,1,0,1,0,1,2,0,2,0,-1,-1,0
1,1,1,2,1,0,1,0,0,1,1,-1,-1,0
1,1,0,-1,-1,-1,0,1,0,1,2,-1,-1,0
1,1,1,1,0,0,1,0,0,0,1,-1,-1,0
1,1,0,-1,-1,-1,0,2,2,2,0,-1,-1,1
1,1,0,-1,-1,-1,0,0,1,1,1,-1,-1,0
1,0,1,0,0,1,0,2,1,0,2,-1,-1,0
1,1,1,1,0,1,2,0,2,1,0,-1,-1,0
1,0,1,2,1,0,2,1,1,0,1,-1,-1,0
1,0,0,-1,-1,-1,2,2,2,0,2,-1,-1,1
1,1,1,1,0,0,1,2,0,1,2,-1,-1,0
1,0,0,-1,-1,-1,1,0,0,0,1,-1,-1,0
1,1,0,-1,-1,-1,2,0,0,1,0,-1,-1,0
1,0,1,1,0,2,0,0,2,1,2,-1,-1,1
1,0,0,-1,-1,-1,2,2,1,0,2,-1,-1,1
1,1,0,-1,-1,-1,1,0,2,2,0,-1,-1,0
1,0,1,0,0,1,0,2,2,2,1,-1,-1,1
1,0,1,1,1,2,0,1,1,2,1,-1,-1,1
1,1,0,-1,-1,-1,2,0,2,1,1,-1,-1,0
1,0,1,1,0,0,1,2,2,0,0,-1,-1,0
1,0,1,1,1,0,1,1,1,2,2,-1,-1,1
1,0,0,-1,-1,-1,2,2,2,1,2,-1,-1,2
1,1,1,0,0,1,1,0,2,1,0,-1,-1,0
1,0,1,0,1,1,0,1,1,0,2,-1,-1,0
1,0,1,2,1,0,2,2,0,0,2,-1,-1,1
1,0,1,2,0,1,0,2,1,2,2,-1,-1,1
1,0,0,-1,-1,-1,1,0,1,2,0,-1,-1,0
1,1,1,2,0,1,2,0,1,0,1,-1,-1,0
1,0,1,0,1,0,2,1,1,1,2,-1,-1,0
1,1,1,1,0,0,1,0,0,2,1,-1,-1,0
1,0,1,1,1,0,2,0,1,2,2,-1,-1,1
1,0,0,-1,-1,-1,1,1,2,2,2,-1,-1,1
1,1,0,-1,-1,-1,2,0,2,2,2,-1,-1,1
1,1,1,2,1,0,1,0,2,1,0,-1,-1,0
1,1,1,1,0,1,2,1,1,2,2,-1,-1,1
1,0,0,-1,-1,-1,1,1,0,1,0,-1,-1,0
1,0,0,-1,-1,-1,1,0,2,0,2,-1,-1,0
1,0,1,0,0,2,0,0,0,0,2,-1,-1,0
1,1,1,1,0,1,2,1,0,0,0,-1,-1,0
1,1,0,-1,-1,-1,1,2,1,2,0,-1,-1,0
1,0,0,-1,-1,-1,1,2,1,0,1,-1,-1,0
1,0,1,1,1,2,0,1,2,0,1,-1,-1,1
1,1,0,-1,-1,-1,1,2,2,0,2,-1,-1,1
1,0,0,-1,-1,-1,1,1,1,2,2,-1,-1,1
1,0,1,1,1,1,0,1,0,2,1,-1,-1,0
1,1,0,-1,-1,-1,2,0,2,1,0,-1,-1,0
1,1,0,-1,-1,-1,1,1,0,2,0,-1,-1,0
1,0,1,1,1,1,0,0,1,0,2,-1,-1,0
1,0,1,1,0,1,2,0,1,0,1,-1,-1,0
1,0,1,0,1,1,1,0,1,2,0,-1,-1,0
1,1,1,2,1,1,2,0,0,1,0,-1,-1,0
1,1,1,0,0,1,2,0,1,1,2,-1,-1,0
1,0,0,-1,-1,-1,2,2,2,2,2,-1,-1,2
1,0,1,1,1,1,0,1,0,0,2,-1,-1,0
1,0,0,-1,-1,-1,1,2,0,2,2,-1,-1,1
1,1,1,0,0,0,2,2,0,1,1,-1,-1,0
1,0,0,-1,-1,-1,2,0,1,0,1,-1,-1,0
1,0,1,2,0,0,2,0,2,1,2,-1,-1,1
1,0,0,-1,-1,-1,0,0,0,0,2,-1,-1,0
1,1,0,-1,-1,-1,2,1,2,1,0,-1,-1,0
1,1,1,0,0,0,0,2,1,2,2,-1,-1,0
1,0,1,0,1,1,2,2,0,0,0,-1,-1,0
1,0,1,0,1,1,0,0,1,0,2,-1,-1,0
1,1,0,-1,-1,-1,0,2,0,2,0,-1,-1,0
1,1,0,-1,-1,-1,1,0,2,1,0,-1,-1,0
1,0,1,0,0,2,2,1,0,2,0,-1,-1,0
1,0,0,-1,-1,-1,0,0,2,0,2,-1,-1,0
1,1,1,1,1,1,2,1,2,2,0,-1,-1,1
1,0,1,1,0,1,1,1,0,2,2,-1,-1,0
1,1,1,1,1,0,2,1,1,1,2,-1,-1,0
1,1,1,1,1,0,0,2,0,0,1,-1,-1,0
1,0,1,1,1,0,0,2,2,2,0,-1,-1,1
1,0,0,-1,-1,-1,0,0,2,2,2,-1,-1,1
1,0,1,2,1,1,1,0,0,1,1,-1,-1,0
1,0,0,-1,-1,-1,0,1,2,2,0,-1,-1,0
1,0,0,-1,-1,-1,0,1,1,0,2,-1,-1,0
1,0,1,2,1,2,2,0,2,2,1,-1,-1,2
1,0,0,-1,-1,-1,0,2,0,0,2,-1,-1,0
1,0,0,-1,-1,-1,1,1,1,1,1,-1,-1,0
1,1,1,1,0,1,1,1,0,0,1,-1,-1,0
1,0,1,0,1,2,0,1,2,0,0,-1,-1,0
1,0,0,-1,-1,-1,0,1,0,1,1,-1,-1,0
1,1,0,-1,-1,-1,2,1,2,0,1,-1,-1,0
1,0,1,0,0,0,0,0,1,1,1,-1,-1,0
1,1,1,2,1,0,2,2,1,1,1,-1,-1,1
1,1,0,-1,-1,-1,1,2,1,0,2,-1,-1,0
1,0,1,1,1,0,1,2,2,2,1,-1,-1,1
1,1,1,2,1,1,1,1,1,2,2,-1,-1,1
1,1,0,-1,-1,-1,1,1,1,0,1,-1,-1,0
1,1,1,0,1,1,0,1,1,1,2,-1,-1,0
1,1,1,1,0,2,2,2,1,2,1,-1,-1,1
1,0,0,-1,-1,-1,1,2,1,1,1,-1,-1,1
1,0,1,0,1,0,0,2,1,0,2,-1,-1,0
1,1,1,2,1,2,1,1,1,0,2,-1,-1,1
1,1,0,-1,-1,-1,2,2,2,1,0,-1,-1,1
1,1,0,-1,-1,-1,0,0,1,0,0,-1,-1,0
1,1,1,0,0,1,0,0,0,0,2,-1,-1,0
1,1,1,1,0,0,2,2,0,1,2,-1,-1,0
1,0,0,-1,-1,-1,2,1,2,0,0,-1,-1,0
1,0,1,2,1,0,2,1,2,0,1,-1,-1,1
1,1,0,-1,-1,-1,0,0,2,2,1,-1,-1,0
1,1,1,2,1,2,2,2,2,2,0,-1,-1,2
1,0,1,0,1,0,2,1,2,1,0,-1,-1,0
1,1,0,-1,-1,-1,1,2,2,2,0,-1,-1,1
1,1,1,2,0,1,2,0,0,2,2,-1,-1,0
1,1,1,1,0,2,0,2,0,1,1,-1,-1,0
1,0,0,-1,-1,-1,1,2,0,0,1,-1,-1,0
1,1,1,1,0,0,1,1,1,2,1,-1,-1,0
1,1,1,2,1,2,2,0,1,2,0,-1,-1,1
1,0,1,2,0,2,2,2,2,1,0,-1,-1,1
1,1,0,-1,-1,-1,2,1,0,2,0,-1,-1,0
1,0,0,-1,-1,-1,0,2,1,0,1,-1,-1,0
1,0,0,-1,-1,-1,2,1,0,0,1,-1,-1,0
1,0,1,0,1,1,2,0,2,2,0,-1,-1,0
1,0,0,-1,-1,-1,2,2,0,2,1,-1,-1,1
1,0,0,-1,-1,-1,2,2,2,0,1,-1,-1,1
1,1,1,0,0,1,1,1,1,2,2,-1,-1,0
1,0,0,-1,-1,-1,0,2,2,2,2,-1,-1,2
1,1,0,-1,-1,-1,1,1,1,1,0,-1,-1,0
1,0,0,-1,-1,-1,1,2,2,0,1,-1,-1,1
1,1,0,-1,-1,-1,0,1,1,1,0,-1,-1,0
1,1,0,-1,-1,-1,1,2,2,0,0,-1,-1,0
1,1,1,0,0,0,1,0,0,2,0,-1,-1,0
1,1,1,2,0,0,2,0,2,1,1,-1,-1,0
1,0,0,-1,-1,-1,2,1,1,2,2,-1,-1,1
1,1,1,0,0,2,2,0,2,2,2,-1,-1,1
1,1,0,-1,-1,-1,0,0,0,1,0,-1,-1,0
1,0,1,2,0,0,0,2,1,1,0,-1,-1,0
1,1,0,-1,-1,-1,2,2,0,0,0,-1,-1,0
1,1,1,1,0,2,2,2,1,2,2,-1,-1,1
1,0,0,-1,-1,-1,1,2,0,1,0,-1,-1,0
1,0,0,-1,-1,-1,2,0,0,2,2,-1,-1,0
1,0,1,1,0,2,0,0,0,0,0,-1,-1,0
1,1,1,0,0,2,2,2,0,2,0,-1,-1,0
1,1,1,0,0,0,0,0,0,1,0,-1,-1,0
1,0,1,1,0,1,2,0,2,2,1,-1,-1,1
1,0,0,-1,-1,-1,1,0,0,1,0,-1,-1,0
1,1,1,1,1,1,0,2,2,2,2,-1,-1,1
1,0,0,-1,-1,-1,1,0,2,0,0,-1,-1,0
1,0,1,1,1,0,0,0,0,1,2,-1,-1,0
1,0,1,0,1,0,2,2,2,0,2,-1,-1,1
1,0,1,2,0,1,2,1,0,1,1,-1,-1,0
1,0,0,-1,-1,-1,2,1,1,2,0,-1,-1,0
1,0,0,-1,-1,-1,0,0,0,0,1,-1,-1,0
1,1,1,1,0,2,2,0,1,1,1,-1,-1,0
1,1,0,-1,-1,-1,0,0,2,2,2,-1,-1,1
1,1,1,1,0,1,1,2,1,1,0,-1,-1,0
1,1,1,0,0,1,1,2,2,1,0,-1,-1,0
1,1,0,-1,-1,-1,2,1,1,0,0,-1,-1,0
1,1,1,2,1,2,1,1,1,1,1,-1,-1,1
1,1,0,-1,-1,-1,1,0,1,2,2,-1,-1,0
1,1,1,0,1,1,2,0,2,2,0,-1,-1,0
1,0,1,1,1,1,1,0,0,1,0,-1,-1,0
1,0,1,1,1,1,1,0,1,1,1,-1,-1,0
1,1,0,-1,-1,-1,0,1,0,0,1,-1,-1,0
1,0,1,1,0,1,1,1,0,2,0,-1,-1,0
1,1,1,0,0,0,2,0,0,1,2,-1,-1,0
1,0,0,-1,-1,-1,0,2,2,1,1,-1,-1,1
1,1,1,0,1,2,2,2,0,0,2,-1,-1,0
1,0,0,-1,-1,-1,1,2,1,0,2,-1,-1,1
1,0,0,-1,-1,-1,2,1,0,0,0,-1,-1,0
1,0,0,-1,-1,-1,1,0,0,1,1,-1,-1,0
1,0,1,2,0,1,0,2,0,0,2,-1,-1,0
1,0,1,2,1,0,1,0,2,1,0,-1,-1,0
1,0,1,1,1,0,1,1,2,1,2,-1,-1,1
1,1,0,-1,-1,-1,2,1,0,0,1,-1,-1,0
1,1,1,1,0,0,2,1,0,1,2,-1,-1,0
1,0,1,0,0,1,2,1,1,0,1,-1,-1,0
1,1,1,2,0,2,0,2,2,0,0,-1,-1,0
1,1,1,2,1,2,0,1,1,0,0,-1,-1,0
1,0,1,2,1,0,2,2,2,1,1,-1,-1,1
1,0,1,0,1,1,0,2,0,2,0,-1,-1,0
1,1,1,0,0,2,1,2,0,1,1,-1,-1,0
1,0,0,-1,-1,-1,1,0,2,2,0,-1,-1,0
1,1,0,-1,-1,-1,1,0,1,0,2,-1,-1,0
1,0,1,0,1,2,1,1,2,2,0,-1,-1,1
1,0,1,1,0,2,0,2,0,1,2,-1,-1,1
1,1,1,2,0,1,2,1,1,1,1,-1,-1,0
1,0,1,2,0,1,2,1,0,2,0,-1,-1,0
1,1,0,-1,-1,-1,1,2,0,0,1,-1,-1,0
